Driver,Time,Sector1Time,Sector2Time,Sector3Time
ALB,3411.981,20.241,35.795,20.226
ALO,3417.131,20.291,36.348,20.427
ANT,3402.391,19.379,34.566,19.536
BEA,3442.646,20.669,36.585,20.865
BOR,3438.675,20.127,35.982,20.507
BOT,3438.009,21.202,37.604,21.16
COL,3414.594,19.982,35.9,20.069
GAS,3409.971,19.791,35.426,20.139
HAD,3406.607,19.91,35.578,20.11
HAM,3404.203,19.879,35.004,19.735
HUL,3413.616,20.078,35.793,20.224
LAW,3411.184,20.031,35.665,20.042
LEC,3405.38,19.934,35.827,20.137
LIN,3415.823,19.973,35.773,20.094
NOR,3410.495,20.317,36.379,20.636
OCO,3416.429,20.303,36.15,20.275
PER,3415.039,20.343,35.919,20.454
PIA,3409.226,19.979,35.532,20.205
RUS,3407.542,19.77,35.542,20.209
SAI,3413.175,20.326,36.647,20.6
STR,3419.063,20.629,36.363,20.93
VER,3402.391,,,
